title,artist,bpm,camelotKey,durationSeconds,energy,filePath,actual_bpm,bpm_confidence,actual_key,key_confidence,camelot,tempo_family,energy_score,energy_level,rms_mean,rms_peak,dynamic_range,onset_density,transient_density,spectral_centroid,spectral_rolloff,zero_crossing_rate,brightness,density,sample_rate,channels,beats_detected,analysis_version
CLY-2026-607-02A,Unknown Artist,119.68,9B,204.0,0.4467,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Batch 1/CLY-2026-607-02A.wav,119.68,0.613,G major,0.249,9B,mid,44.67,3,0.120956,0.454465,0.454464,236.0,1.009614,1047.048,2029.683,0.015955,0.0436,0.7867,48000,2,110,0618B_v1.0.0
GPT-20260609-04A (Walkway Between Gates),Unknown Artist,119.68,6B,217.96,0.4163,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Batch 1/GPT-20260609-04A (Walkway Between Gates).wav,119.68,0.618,A# major,0.04,6B,mid,41.63,3,0.125504,0.580728,0.580724,139.333,0.584851,620.58,803.008,0.0114,0.0259,0.4644,48000,2,111,0618B_v1.0.0
GPT-20260609-10A (Below the Switching Yard) v,Unknown Artist,122.28,4A,267.64,0.6456,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Batch 1/GPT-20260609-10A (Below the Switching Yard) v.wav,122.28,0.905,F minor,0.305,4A,mid,64.56,4,0.167376,0.457378,0.457374,340.0,1.689505,1903.441,3942.286,0.023478,0.0793,1.0,48000,2,166,0618B_v1.0.0
GPT-20260609-10A (Below the Switching Yard),Unknown Artist,122.28,4A,267.64,0.6456,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Batch 1/GPT-20260609-10A (Below the Switching Yard).wav,122.28,0.905,F minor,0.305,4A,mid,64.56,4,0.167376,0.457378,0.457374,340.0,1.689505,1903.441,3942.286,0.023478,0.0793,1.0,48000,2,166,0618B_v1.0.0
GPT-20260609-11A (Below the Switching Yard) (1),Unknown Artist,119.68,4A,246.8,0.5218,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Batch 1/GPT-20260609-11A (Below the Switching Yard) (1).wav,119.68,0.997,F minor,0.393,4A,mid,52.18,3,0.168385,0.416822,0.416818,214.667,1.197552,1200.803,2364.946,0.015176,0.05,0.7156,48000,2,179,0618B_v1.0.0
GPT-20260609-11A (Below the Switching Yard) (2),Unknown Artist,89.29,11A,239.92,0.6001,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Batch 1/GPT-20260609-11A (Below the Switching Yard) (2).wav,89.29,0.866,F# minor,0.17,11A,low_mid,60.01,4,0.186182,0.397983,0.397981,306.667,1.637062,1821.237,3825.39,0.022153,0.0759,1.0,48000,2,116,0618B_v1.0.0
GPT-20260609-11A (Below the Switching Yard),Unknown Artist,89.29,11A,239.92,0.6001,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Batch 1/GPT-20260609-11A (Below the Switching Yard).wav,89.29,0.866,F# minor,0.17,11A,low_mid,60.01,4,0.186182,0.397983,0.397981,306.667,1.637062,1821.237,3825.39,0.022153,0.0759,1.0,48000,2,116,0618B_v1.0.0
GPT-20260609-12A (Glass Frequency Drift) (1),Unknown Artist,95.34,3A,231.24,0.3981,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Batch 1/GPT-20260609-12A (Glass Frequency Drift) (1).wav,95.34,0.713,A# minor,0.015,3A,low_mid,39.81,2,0.112613,0.421703,0.421617,227.333,1.139615,2730.353,5543.991,0.029592,0.1138,0.7578,48000,2,102,0618B_v1.0.0
GPT-20260609-12A (Glass Frequency Drift) (2),Unknown Artist,95.34,3A,231.24,0.3981,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Batch 1/GPT-20260609-12A (Glass Frequency Drift) (2).wav,95.34,0.713,A# minor,0.015,3A,low_mid,39.81,2,0.112613,0.421703,0.421617,227.333,1.139615,2730.353,5543.991,0.029592,0.1138,0.7578,48000,2,102,0618B_v1.0.0
GPT-20260609-12A (Glass Frequency Drift),Unknown Artist,86.54,4A,139.16,0.4699,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Batch 1/GPT-20260609-12A (Glass Frequency Drift).wav,86.54,1.0,F minor,0.388,4A,low_mid,46.99,3,0.124872,0.322452,0.322449,406.0,1.483468,3234.06,7957.137,0.049102,0.1348,1.0,48000,2,130,0618B_v1.0.0
GPT-20260609-13A (The Instrument Left Outside),Unknown Artist,117.19,7A,278.88,0.6171,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Batch 1/GPT-20260609-13A (The Instrument Left Outside).wav,117.19,0.967,D minor,0.314,7A,mid,61.71,4,0.166435,0.387393,0.37719,327.333,1.829501,2583.971,5272.96,0.03892,0.1077,1.0,48000,2,170,0618B_v1.0.0
GPT-20260610-01A (Cathedral of Signal Rain),Unknown Artist,110.29,10B,316.4,0.4101,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Batch 1/GPT-20260610-01A (Cathedral of Signal Rain).wav,110.29,0.719,D major,0.392,10B,mid,41.01,3,0.122945,0.34797,0.347949,239.333,1.157154,2105.537,4360.158,0.035051,0.0877,0.7978,48000,2,119,0618B_v1.0.0
"GPT-20260611-07A (Sous la lune, doucement -Under the moon, softly. II)",Unknown Artist,119.68,4A,189.8,0.6655,"/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Batch 1/GPT-20260611-07A (Sous la lune, doucement -Under the moon, softly. II).wav",119.68,0.98,F minor,0.068,4A,mid,66.55,4,0.147367,0.441854,0.437905,510.0,1.969389,1482.002,2523.039,0.018417,0.0618,1.0,48000,2,176,0618B_v1.0.0
GPT-20260611-15A (Platform Display Error 04),Unknown Artist,92.21,4B,249.24,0.5621,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Batch 1/GPT-20260611-15A (Platform Display Error 04).wav,92.21,0.933,G# major,0.394,4B,low_mid,56.21,3,0.161246,0.352901,0.330517,426.667,1.512743,2118.363,4367.38,0.028011,0.0883,1.0,48000,2,129,0618B_v1.0.0
GPT-20260611-17A (Ex Micro Failure 8),Unknown Artist,93.75,2B,209.88,0.5461,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Batch 1/GPT-20260611-17A (Ex Micro Failure 8).wav,93.75,0.825,F# major,0.372,2B,low_mid,54.61,3,0.157553,0.321878,0.321741,431.333,1.468601,3235.64,6959.674,0.056661,0.1348,1.0,48000,2,116,0618B_v1.0.0
GPT-20260611-18A (Wealth Failure 9) (1),Unknown Artist,122.28,9A,213.76,0.5803,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Batch 1/GPT-20260611-18A (Wealth Failure 9) (1).wav,122.28,0.927,E minor,0.414,9A,mid,58.03,3,0.142151,0.372216,0.356466,446.667,1.552339,1984.151,4194.46,0.030632,0.0827,1.0,48000,2,170,0618B_v1.0.0
GPT-20260611-19A (Ex Micro Failure 10),Unknown Artist,117.19,2A,212.56,0.6134,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Batch 1/GPT-20260611-19A (Ex Micro Failure 10).wav,117.19,0.956,D# minor,0.453,2A,mid,61.34,4,0.153385,0.394448,0.394444,398.0,1.758629,3437.808,7458.258,0.050549,0.1432,1.0,48000,2,168,0618B_v1.0.0
SR-20260605-01A (Signals Through Thin Walls),Unknown Artist,114.8,3B,219.6,0.6489,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Batch 1/SR-20260605-01A (Signals Through Thin Walls).wav,114.8,0.796,C# major,0.027,3B,mid,64.89,4,0.183143,0.518151,0.51815,317.333,1.262938,954.676,1496.595,0.009985,0.0398,1.0,48000,2,137,0618B_v1.0.0
