title,artist,bpm,camelotKey,durationSeconds,energy,filePath,actual_bpm,bpm_confidence,actual_key,key_confidence,camelot,tempo_family,energy_score,energy_level,rms_mean,rms_peak,dynamic_range,onset_density,transient_density,spectral_centroid,spectral_rolloff,zero_crossing_rate,brightness,density,sample_rate,channels,beats_detected,analysis_version
White Ropes,Soulphiction,123.05,1B,235.26,0.593,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/01. Soulphiction - White Ropes.mp3,123.05,0.986,B major,0.024,1B,mid,59.3,3,0.265336,0.689928,0.689928,304.667,1.33912,1978.621,4083.945,0.018015,0.0897,1.0,44100,2,182,0618B_v1.0.0
Beau Mot Plage,Isolée,129.2,10A,398.003,0.5589,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/02. Isolée - Beau Mot Plage.mp3,129.2,0.991,B minor,0.015,10A,dance,55.89,3,0.144724,0.460278,0.460243,458.0,1.852531,2169.486,4628.672,0.026996,0.0984,1.0,44100,2,192,0618B_v1.0.0
Going Around,"Herbert, Matthew Herbert",114.84,7A,415.653,0.3673,"/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/03. Herbert, Matthew Herbert - Going Around.mp3",114.84,1.0,D minor,0.101,7A,mid,36.73,2,0.035043,0.143846,0.143846,402.0,1.719401,2792.778,5387.72,0.058012,0.1267,1.0,44100,2,173,0618B_v1.0.0
Lay in a Shimmer,Pantha Du Prince,99.38,9B,394.006,0.1917,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/04. Pantha Du Prince - Lay in a Shimmer.mp3,99.38,0.986,G major,0.206,9B,low_mid,19.17,1,0.036023,0.183732,0.183701,205.333,0.8893,2108.386,3900.657,0.059679,0.0956,0.6844,44100,2,147,0618B_v1.0.0
Silent State,STL,120.19,7B,708.44,0.556,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/05. STL - Silent State.mp3,120.19,0.998,F major,0.181,7B,mid,55.6,3,0.170473,0.596079,0.596069,389.333,1.567427,3388.668,6335.098,0.085862,0.1537,1.0,44100,2,180,0618B_v1.0.0
Closer Dancer,Closer Musik,114.84,7A,442.698,0.5375,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/06. Closer Musik - Closer Dancer.mp3,114.84,0.987,D minor,0.239,7A,mid,53.75,3,0.144565,0.533875,0.533875,380.667,1.954147,1902.579,3384.096,0.028931,0.0863,1.0,44100,2,170,0618B_v1.0.0
Love Dose (Luciano Remix),Argy,126.05,3A,401.843,0.5886,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/07. Argy - Love Dose (Luciano Remix).mp3,126.05,0.878,A# minor,0.249,3A,dance,58.86,3,0.217904,0.461284,0.461284,425.333,1.771088,2317.405,5434.278,0.014716,0.1051,1.0,44100,2,166,0618B_v1.0.0
Happiness,Superpitcher,126.05,4A,404.115,0.4172,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/08. Superpitcher - Happiness.mp3,126.05,0.82,F minor,0.222,4A,dance,41.72,3,0.148901,0.464117,0.464117,235.333,1.250099,2809.47,5855.376,0.049151,0.1274,0.7844,44100,2,155,0618B_v1.0.0
Minimal,Matias Aguayo,129.2,1A,393.562,0.5736,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/09. Matias Aguayo - Minimal.mp3,129.2,0.862,G# minor,0.068,1A,dance,57.36,3,0.183755,0.471244,0.47122,390.0,1.928524,2821.355,6488.0,0.030792,0.128,1.0,44100,2,167,0618B_v1.0.0
Ichso (Original Mix),Ricardo Villalobos,129.2,4A,722.433,0.5243,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/10. Ricardo Villalobos - Ichso (Original Mix).mp3,129.2,1.0,F minor,0.237,4A,dance,52.43,3,0.070004,0.354455,0.354454,481.333,2.050357,6023.715,13116.732,0.09398,0.2732,1.0,44100,2,195,0618B_v1.0.0
